Comment,Designator,Footprint,LCSC,Quantity
AP2171W,"U7,U8",SOT-25-5_L3.0-W1.8-P0.95-LS3.0-BL,C110466,2
2.2uF,"C25,C26",C_0402,C12530,2
1Ω,"R13,R14",R_1206,C1409,2
100nF,"C12,C13,C14,C20",C_0402,C1525,4
1uF,"C1,C19,C2,C3,C5,C6",C_0603,C15849,6
10nF,"C10,C9",C_0805,C1710,2
300Ω,R20,R_0805,C17617,1
MT3608,U1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C181783,1
HX SS12D10G6-WJ,U10,SW-TH_3P-P4.80_HX-SS12D10G6-WJ,C19189121,1
4.7uF,"C11,C15,C16,C4",C_0603,C19666,4
HUSB237-AA001-DN06R,U11,TDFN-6_L2.0-W2.0-P0.65-TL-EP,C22373734,1
1.5kΩ,"R16,R17,R19",R_0603,C22843,3
3.3kΩ,"R1,R10,R2",R_0603,C22978,3
75kΩ,R22,R_0603,C23242,1
9.1kΩ,R9,R_0603,C23260,1
10kΩ,"R12,R15,R23",R_0603,C25804,3
430m,"R3,R4",R1206,C2934307,2
FSW3157YSOT363G/TR,U9,SOT-363_L2.1-W1.3-P0.65-LS2.1-BL,C32713320,1
0.02,R_SHUNT1,R1206,C393094,1
2.2kΩ,R6,R_0603,C4190,1
3kΩ,"R18,R5",R_0603,C4211,2
10uF,"C17,C18,C21,C22",CAP-TH_BD5.0-P2.00-D0.8-FD,C503219,4
DRV8833PWP,"U3,U5",TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,C50506,2
AP2112K-3.3,U4,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,C51118,1
BQ24074RGT,U6,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,C54313,1
4.7uH,L1,IND-SMD_L2.5-W2.0-VLS252012CX-150M,C5832360,1
TYPE-C 6P(073),USB1,TYPE-C-SMD_TYPE-C-6P_5,C668623,1
SS34,D1,D_SMA,C8678,1
INA219AxD,U2,SOT-23-8_L3.0-W1.7-P0.65-LS2.8-BR,C87469,1
Conn_01x02_Pin,J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,1
Conn_02x16_Odd_Even,J2,PinHeader_2x16_P2.54mm_Vertical,,1
